producto,ubicacion,stock_actual,stock_minimo,demanda_real,diferencia_stock,estado_inventario
Teclado,Santiago,0,464,5,0,STOCK SUFICIENTE
Teclado,Concepcion,0,446,5,0,STOCK SUFICIENTE
Teclado,Santiago,0,318,5,0,STOCK SUFICIENTE
Teclado,Concepcion,0,284,5,0,STOCK SUFICIENTE
Teclado,Concepcion,0,235,5,0,STOCK SUFICIENTE
Teclado,Valparaiso,0,158,5,0,STOCK SUFICIENTE
Teclado,Santiago,0,47,5,0,STOCK SUFICIENTE
Teclado,Concepcion,0,3,5,0,STOCK SUFICIENTE
Tablet,Valparaiso,0,332,13,0,STOCK SUFICIENTE
Tablet,Santiago,0,301,13,0,STOCK SUFICIENTE
Smartphone,Valparaiso,0,423,11,0,STOCK SUFICIENTE
Smartphone,Valparaiso,0,333,11,0,STOCK SUFICIENTE
Smartphone,Santiago,0,195,11,0,STOCK SUFICIENTE
Smartphone,Concepcion,0,36,11,0,STOCK SUFICIENTE
Smartphone,Valparaiso,0,22,11,0,STOCK SUFICIENTE
Smartphone,Santiago,0,13,11,0,STOCK SUFICIENTE
Mouse,Antofagasta,0,491,7,0,STOCK SUFICIENTE
Mouse,Santiago,0,457,7,0,STOCK SUFICIENTE
Mouse,Santiago,0,441,7,0,STOCK SUFICIENTE
Mouse,Santiago,0,421,7,0,STOCK SUFICIENTE
Mouse,Concepcion,0,353,7,0,STOCK SUFICIENTE
Mouse,Antofagasta,0,230,7,0,STOCK SUFICIENTE
Mouse,Concepcion,0,39,7,0,STOCK SUFICIENTE
Monitor,Valparaiso,0,456,15,0,STOCK SUFICIENTE
Monitor,Santiago,0,88,15,0,STOCK SUFICIENTE
Monitor,Santiago,0,66,15,0,STOCK SUFICIENTE
Laptop,Antofagasta,0,458,17,0,STOCK SUFICIENTE
Laptop,Santiago,0,413,17,0,STOCK SUFICIENTE
Laptop,Antofagasta,0,263,17,0,STOCK SUFICIENTE
Laptop,Santiago,0,225,17,0,STOCK SUFICIENTE
