id_sesion;id_cliente;pagina_visitada;tiempo_sesion_seg;busqueda;clics;fecha
1;4;Inicio;216;Smartphone;16;2025-10-14 00:41:34.111502
2;3;Ofertas;575;Mouse;6;2025-10-08 00:41:34.111521
3;25;Checkout;119;Teclado;1;2025-09-30 00:41:34.111525
4;27;Soporte;535;Teclado;16;2025-09-28 00:41:34.111528
5;2;Carrito;235;Tablet;8;2025-10-05 00:41:34.111531
6;12;Soporte;30;Teclado;5;2025-09-29 00:41:34.111534
7;15;Ofertas;178;Laptop;11;2025-10-02 00:41:34.111537
8;19;Checkout;319;Smartphone;12;2025-10-13 00:41:34.111540
9;26;Carrito;82;Teclado;13;2025-10-11 00:41:34.111544
10;11;Soporte;388;Teclado;3;2025-10-04 00:41:34.111547
11;26;Checkout;150;Teclado;15;2025-09-27 00:41:34.111549
12;22;Inicio;243;Smartphone;4;2025-10-07 00:41:34.111552
13;3;Carrito;453;Smartphone;6;2025-10-06 00:41:34.111555
14;19;Categorias;62;Tablet;11;2025-10-10 00:41:34.111558
15;8;Carrito;559;Monitor;6;2025-10-03 00:41:34.111561
16;22;Categorias;325;Smartphone;6;2025-10-26 00:41:34.111564
17;6;Checkout;145;Teclado;6;2025-10-06 00:41:34.111567
18;24;Categorias;111;Smartphone;4;2025-10-09 00:41:34.111571
19;21;Ofertas;412;Smartphone;13;2025-10-10 00:41:34.111573
20;15;Categorias;167;Laptop;13;2025-10-10 00:41:34.111576
21;26;Checkout;94;Mouse;1;2025-10-20 00:41:34.111579
22;17;Soporte;252;Teclado;1;2025-10-15 00:41:34.111582
23;2;Inicio;596;Mouse;12;2025-10-20 00:41:34.111585
24;4;Checkout;576;Teclado;7;2025-10-11 00:41:34.111588
25;4;Categorias;575;Smartphone;7;2025-09-26 00:41:34.111590
26;6;Ofertas;581;Tablet;2;2025-10-08 00:41:34.111593
27;18;Checkout;313;Mouse;10;2025-10-20 00:41:34.111596
28;16;Inicio;252;Laptop;4;2025-10-06 00:41:34.111599
29;19;Categorias;433;Teclado;15;2025-10-12 00:41:34.111602
30;23;Categorias;46;Tablet;6;2025-10-13 00:41:34.111604
